abo	 《オーストラリア英語》《俗・禁句》原住民(aborigine) 
fez	 トルコ帽(頂上に黒ふさのついた赤色のフェルト帽) 
fib	 (ささいな,罪のない)うそ / 軽いうそをつく
fie	 (軽べつ・非難を表して)ええっ,まあ 
fig	 いちじくの木(実) / 《a~》《話》《通例否定文に用いて》取るに足らないもの
fin	 (魚などの)ひれ / (形・働きが)ひれに似た物 / (飛行機の)垂直安定板 / 《話》手,腕
fir	 モミ,モミの木(クリスマスツリーに用いられる) / モミ材
fit	 『適した』,適切な,ぴったりの / 《補語にのみ用いて》よい調子で;健康で / 《be fit to do》いまにも…しそうである《explode,burst,fall,dropなど危険な意 / を含む動詞と共に用いる》 / 〈意図・目的など〉‘に'『合う』,ふさわしい / (…に)…‘を'『合わせる』,はめ込む,取り付ける《+『名』+『to』(『into,in,on』)+『名』》;(…を)…‘に'合わせる《+『名』+『with』+『名』》 / 〈人〉‘に'資格をつける,‘を'適させる / 適する,合う(服・靴などの)でき具合;体に合うもの / 〈U〉適合,対応 
fix	 (…に)…‘を'『固定する』,取り付ける《+『名』+『in』(『on, to』)+『名』》 / …‘を'『決める』,定める / (…に)…‘を'向ける《+『名』+『on』(『upon』)+『名』》 / (…に)…‘を'置く,据える《+『名』+『in』(『on』)+『名』》 / 《米》…‘を'『修理する』,直す / 《話》…‘を'整とんするも,きちんと整える / 〈流行・型など〉‘を'定着させる;〈写真のネガ〉‘を'定着する / 《話》〈試合〉‘を'八百長に仕組む / 《米》〈食事〉‘を'用意する,〈食べ物・飲み物〉‘を'作る / 《俗》…‘に'仕返しする / 《話》苦境,窮地 / (船舶・航空機の)位置の決定 / 《俗》麻薬の注射する;注射する麻薬[の量] 
flu	 インフルエンザ,流感 
fly	 <鳥などが>『飛ぶ』 / <人が>『飛行機で飛ぶ』,飛行する;<飛行機などが>飛ぶ / (風などで)<物が>空中を飛ぶ / (風に)<旗・髪などが>ひるがえる,なびく / 《副詞[句]を伴なって》『飛ぶように動く』(走る) / (ある状態・位置から)急に(…に)なる《+『形』<補>》;ぱっと(…)する《+『into』+『名』》 / (野球で)フライを打つ;<ボールが>フライになる / 《話》急いで立ち去る / 逃げる / (空中に)<たこ・鳥など>‘を'『飛ばす』 / <旗>を揚げる,翻す / <飛行機など>‘を'飛ばす,操縦する / (人・物が)…‘を'飛行機で飛ぶ / <飛行便>‘を'利用する / <人・物>‘を'空輸する / ボタン隠し,ファスナー隠し(服のボタンやファスナーを隠す布) / (野球の)飛球,フライ(=fly ball) / (テントの入口の)垂れ幕 / 飛行,飛ぶこと 
fob	 (チョッキ・ズボンにある)時計入れポケット / (しばしば,時計入れポケットから垂らす)時計の小さな鎖(ひも・リボン) / 時計の小鎖の先端に付ける装飾品 
foe	 敵,かたき;(競技・論争などの)相手,敵対者 
fog	 霧,もや / 霧状(の…),(…の)霧《+『of』+『名』》 / (写真のネガの)曇り,かぶり / …‘を'霧(霧状のもの)でおおう / 《話》《受動態で》〈人・頭など〉‘を'混乱させる / 霧(もや,かすみなど)で包まれる(曇る)
fop	 しゃれた男,めかし屋 
for	 《時間・距離》『…の間』 / 《利益・貢献》『…のために』 / 《適応・用途》『…向きの(に);』…用の(に);…のための(に) / 《目的・意向》『…のために,』に / 《敬意・記念》『…のために;』…を記念して / 《獲得・追求》『…を得るために』,を求めて / 《行く先・方向》『…あてに;』…[方面]行きの,に向けて / 《交換・報償など》『…に対して』;…と引き換えに;…のお返しに / 《原因・理由》『…のために』,なので / 《代理・代表》『…の代わりに;』…を代表して / 《形容詞の後に用いて》『…にとって,』には / 《比較級の後に用いて》『…の結果として,』…のために / 《対比》『…としては,』のわりには / 《関連》『…について,』の点では / 《資格・属性》『…として』 / 《賛成・支持》…『に賛成して』,を支持して / 《傾向・好み》…『に対する』,には / 《模倣》《おもに米》《英文》…の名を取って(after) / 《割合》…に対して / 《『for』+『名』〈人〉+『to』 doの形で,〈人〉が不定詞to doの意味上の主語を表して》…が(…することは,…するために) / […というのは]…だから 
fox	 〈C〉『キツネ』,雄ギツネ / 〈U〉キツネの皮 / 〈C〉《話》(キツネのように)こうかつな人,ずるい人 / …‘を'欺く / 〈人〉‘を'当惑させる / 偽る
fpm	 feet per minute 
fps	 feet per second 
fry	 …‘を'『油で揚げる』,油でいためる / 揚げ物になる,揚がる / 《話》(日光浴などして)焼く,日焼けする / (野外で行う)揚げ物の会食
fug	 よどんだ空気,むっとする空気,人いきれ 
fun	 『楽しみ』,慰み / 戯れ,ふざけ / 愉快な気持ちにさせるもの(人) 
fur	 〈U〉(ウサギ・ミンク・キツネなどの柔らかな)『毛皮』 / 《集合的に》柔らかな毛をした動物 / 〈C〉《しばしば複数形で》(外とう・えり巻きなどの)『毛皮製品』;(服装用の)毛皮 / 〈U〉(舌にできる)舌ごけ / 〈U〉(やかんなどにつく)湯あか / 〈衣服〉‘に'毛皮の裏(へり)をつける / 〈舌〉‘に'舌ごけをつける / 〈やかんなど〉‘に'湯あかをつける
gab	 むだ話,おしゃべり(chatter) / (…について)むだ話をする《+『about』+『名』》;(…と)おしゃべりする《+『with』+『名』》
gad	 (刺激・楽しみを求めて)ぶらつく,ほっつき歩く 
gal	 女の子,少女(girl) 
gam	 (特に女性の)魅力的な脚,すんなりした脚 
gap	 (壁・へいなどの)『割れ目』,『すき間』《+『in』+『名』》 / (連続するものの)『途切れ』,空白[部分]《+『in』+『名』》 / (意見・性格などの)『大きなずれ』《+『between』+『名』》 / (山の尾根を分断する)深い峡谷(峠) / …‘に'割れ目(すき間)を作る / 割れ目(すき間)ができる
gar	 ダツ(北米産の淡水魚) 
gas	 〈U〉〈C〉『気体』,『ガス』 / 〈U〉(灯用・燃料用)ガス / 〈U〉《米話》=gasoline / 〈U〉(麻酔用の)亜酸化窒素,笑気(laughing gas);毒ガス(mustard gas, tear gasなど) / 〈U〉《話》むだ話,ばか話 / 〈C〉《単数形で》とても楽しいこと / 〈敵など〉‘を'毒ガスで攻撃する / 《米話》〈車〉‘に'ガソリンを入れる《+『up』+『名,』+『名』+『up』》 / 長々とむだ話をする 
gat	 ピストル,はじき 
gay	 『陽気な』,愉快な,うきうきした / はでな色の,華やかな / 放蕩な,不身持ちの / 《話》同性愛の,ホモの
gel	 ゲル(コロイド溶液の凝固した状態;ゼラチン・寒天など) / =jell
gem	 (特に,カットして磨いた)『宝石』(jewel),宝玉 / 宝石のような人(もの),逸品,珠玉 / …‘を'宝石で飾る,‘に'宝石をちりばめる;(…で)…‘を'飾る《+『名』+『with』+『名』》 
get	 …‘を'『受け取る』,もらう(受動態にできない) / …‘を'『手に入れる』,得る(受動態にできない) / …‘を'『取ってくる』,持ってくる / 〈人〉‘に'『させる』,『してもらう』 / …‘を'『する』 / 《目的語の名詞の意味を受けて》…『する』,『される』 / 〈病気〉‘に'かかる(受動態にできない) / …‘を'捕らえる,捕まえる / …‘を'覚える,知る / …‘を'聞く,聞き取る(hear);《話》…‘を'理解する,了解する,分かる / 〈放送局〉‘を'キャッチする;…‘と'連絡がつく / 〈食事〉‘の'準備をする,したくする / 《話》《『have got』+『名』》…‘を'持っている(have) / 《話》《『have got to』 do》…しなくてはならない / 〈人〉‘を'やっつける,参らせる / 《副詞[句]を伴って》(ある場所に)『着く』,達する;(ある場所・方向に)動く / (ある状態に)『なる』 / 《『get』+『過分』〈補〉》(…)『される』 / 《話》《『get to』 do=『get』 do『ing』》『やっと』(…)『するようになる』,(…)しだす,し始める 
gin	 ジン(無色透明の強い蒸留酒) 
gip	 =gyp 
gnu	 ヌー(南アフリカ産の曲がった角と尾を持った大カモシカ) 
gob	 (米国の)水兵 
god	 〈C〉(ギリシア・ローマ神話や多神教などの)『神』;(特に)男神 / 〈C〉(崇拝の対象となる)神像,偶像(idol) / 〈C〉(神のように)崇拝される人,非常に重要なもの,非常に価値あるもの / 〈U〉《G-》(キリスト教など一神教の)『神』
got	 getの過去・過去分詞 
gum	 〈U〉ガム,ゴム(植物から分泌される乳状の液(水に溶け,空気中で凝固する) / 〈U〉ゴムのり / 〈U〉=chewing gum / =gum tree / 〈U〉目やに / …‘に'ゴムを塗る;…‘を'ゴムのりでつける / ゴムを分泌する;〈樹木が〉やにを出す 
gun	 『銃』,『砲』 / (銃に似た)吹き付け(注入)器具 / (合図・儀礼としての)銃砲の発射;礼砲,祝砲,弔砲 / …‘を'銃で撃つ / 《話》(速度を増すために)〈エンジンなど〉‘の'紋り弁を急に開いてガソリンを送る / 銃で撃つ;銃で猟をする
gut	 腸;(楽器の弦の材料となる)腸 / 《複数形で》内臓,腹わた(bowels) / =catgut / 《複数形で》元気,勇気,はら,根性 / 《複数形で》中身,内容 / 〈鳥・魚〉‘の'腹わたを取り除く / …‘の'中をすっかりやられる / 本能的に感じる,生き生きした;切実な
guv	 おやじ,親方,だんな 
guy	 控え綱,支え綱(テント・棒などを倒れないように張る綱) / …‘に'控え綱を張る(で締める)
gym	 〈C〉=gymnasium l / 〈U〉(学科目の)体操(gymnastics)
gyp	 …‘を'だます,欺く（語源はGypsyです）だまし,ぺてん / ぺてん師,詐欺師 / 《英話》(Cambridge大学の)男性用務員,校僕 
had	 haveの過去・過去分詞 
hag	 醜い老女 / 魔女(witch)
ham	 〈U〉〈C〉(豚肉の)『ハム』 / 〈C〉(動物,特に豚の)もも / 〈C〉《しばしば複数形で》(豚肉の)しりとももを合わせた部分 / 〈C〉アマチュア無線家(radio ham) / 〈C〉(大げさに演じる)へぼ役者 / 〈役〉‘を'大げさに演じる / 大げさに演技する 
hap	 運,幸運 
has	 haveの三人称単数現在 
hat	 (回りに縁のついた)『帽子』 / …‘に'帽子をかぶせる
haw	 サンザシ(hawthorn)の実 
hay	 『干し草』(家畜の飼料) / 干し草を作る / ‘を'干し草にする;‘に'干し草を与える 
hem	 (折り返して縫った衣類や布の)へり,縁 / (一般に)へり,縁 / 〈布・着物〉‘の'へりを折り返して縫う;…‘の'縁どりをする 
hen	 〈C〉『めんどり』 / 《複合語を作って》(一般に)鳥の雌
hep	 =hip, 最新情報にくわしい 
her	 《sheの所有格》『彼女の』 / 《sheの目的格》『彼女に』 / 《口語》[be の補語に用いて] = her 
hew	 (おのなどを振るように)切って(刻んで)…‘を'作る《+『out』+『名』》 / (おの・剣などで)…‘を'切る,たたき切る《+『down』+『名』》 / (努力して)…‘を'作り出す《+『out』+『名』》 / (おの・剣などで)(…を)切る,たたき切る《+『away』(『at』+『名』》
hex	 〈人〉‘に'魔法を掛ける;〈人〉‘を'うっとりさせる / 魔力,まじない / 魔女 
hey	 おや,おい,へえ,ちょっと(注意を促したり,喜び・驚き・困惑などの突然わき起こった感情の発声) 
hid	 hideの過去・過去分詞 
hie	 急ぐ,急いで行く / …を急がす
him	 『彼を』,『彼に』 / 《話》彼(=he)
hip	 『腰』[の一方の側],ヒップ / = hip joint
his	 《heの所有格》『彼の』 / 《heの所有代名詞》『彼のもの』 / 《of hisの形で》彼の 
hit	 〈人・物〉‘を'『打つ』,なぐる / …‘に'『ぶつかる』,衝突する / (…に)〈自分の体〉‘を'『ぶつける』《+『名』+『against』(『on』,『upon』)』+『名』》 / 《話》…‘に'達する / …‘に'ひどい打撃(結果)を与える / 《米》〈事が〉〈人〉‘に'ふと思い浮かぶ;〈人が〉…‘を'ふと見つける / (野球で)〈安打〉‘を'打つ;(クリケットで)〈…点〉‘を'取る / (武器などで)(…を)『打つ』,攻撃する《+『at』+『名』》 / (…に)『ぶつかる』,衝突する《+『against(on, upon)』+『名』》 / 襲う,急に現れる / 『打撃』,命中 / ヒット,大当たり,大成功 / (野球で)ヒット,安打(base hit) / 風刺,当てこすり
hob	 なべ・やかんなどを冷めないように載せておく暖炉の中の両側の台 
hod	 ホッド(長い柄がついた木製の容器でれんが・しっくいを入れ肩にかついで運ぶ) / 石炭入れ
hoe	 (長い柄がついた)くわ(土を掘ったり,除草などに使う) / 〈土地〉‘を'くわで耕す,〈草〉‘を'くわで除く《+『up』+『名,』+『名』+『up』》 / くわを使う(耕す) 
hog	 《米》豚 / (食肉用に)去勢した雄豚 / どん欲な人 / 〈物〉‘を'むさぼる,ひとり占めにする
hop	 〈人が〉『片足でぴょんぴょんと跳ぶ』 / 〈鳥・動物が〉足をそろえてぴょんぴょん跳ぶ / …‘を'跳び越える / 《話》(特に,ただで)〈乗物〉‘に'乗る / ぴょんぴょんと跳ぶこと,跳躍 / 《話》(飛行機の)飛行;一航程 / 《話》ダンス,ダンスパーティー / 《話》(ボールの)バウンド
hot	 『熱い』;『暑い』 / (体が)熱い,ほてる;ほてらせる / (味が)『辛い』,ひりひりする / (気性などの)『激しい』;(気分・感情などの)高ぶった,興奮した(excited);《話》性的に興奮した / 《話》熱烈な,熱狂的な,熱心な(eager) / (状態や動きが)『激しい』,激烈な(violent) / (におい・色など)強く感じる,どぎつい / (ニュースなどが)『新しい』,発表されたばかりの;(料理などが)できたての / 《話》(獲物などを)すぐあとに迫った;(クイズなどで)正解に近い / 《話》(商品などが)人気のある,売れる / (ジャズが)ホットな,強烈な音とリズムの / 《俗》盗んだばかりの;不法に入手した / 熱く,暑く / 激しく,熱心に / 怒って 
how	 『どんなふうに』,どんな方法で,どうゆう手段で / 《通例形容詞・副詞を伴って》『どれほど』,どの程度,どのくらい / 『どんなふうで』,どんなぐあで / 《しばしばHow is (comes) it…?の形で》『なぜ』,どんな理由で / 《不定詞を伴って》…する方法・《感嘆文で》『なんと』,どんなに / 《名詞節を導いて》…である次第,の方法 / 《副詞節を導いて》どうにでも…ように(in anyway in which) / 方法,仕方
hub	 (車輪の)こしき,中心部 / (活動などの)中心,中枢《+『of』+『名』》
hue	 (color);〈U〉〈C〉『色合い』(tint) 
hug	 《副詞[句]を伴って》(特に愛情を持って)…‘を'『抱き締める』;(両腕・ひざなどで)…‘を'ぎゅっと締めつける / (船・車・人などが)…‘に'接近して進む / 〈考えなど〉‘に'固執する(cling to) / (特に愛情の印としての)抱擁
hum	 〈ハチ・機械などが〉『ブンブンいう』,ブーンと鳴る / 『鼻歌を歌う』,ハミングスル / (ちゅうちょ・当惑で)ふむふむいう / 《話》〈雰囲気・事業などが〉活気がある,活発に動く;(…で)活気づく《+『with』+『名』》 / …‘を'『ハミングで歌う』,鼻歌を歌って…‘を'(ある状態に)する / (ハチ・機械などの)『ブンブン』[『うなる音』];鼻歌 / (雑踏などの)ガヤガヤ]いう音],騒音 / ふーむ,うーん(ちゅうちょ・当惑・黙考・疑惑・不快などの声)
hut	 (丸太などで造った)『小屋』,仮小屋,ヒュッテ 
ice	 〈U〉『氷』 / 〈U〉《the~》表面に張った氷,氷面 / 〈C〉《米》氷菓子(シャーベット・フラッペなど) / 〈U〉(気持ち・態度などの)冷たさ,よそよそしさ / …‘を'氷でおおう《+『名』+『over』(『up』),+『over』(『up』)+『名』》 / …‘を'氷にする / (特に氷で)…‘を'冷やす,冷たくする / 〈ケーキなど〉‘に'糖衣をかける / 凍る《+『over』(『up』)》 
icy	 『氷の』,氷で覆われた / 『氷のように冷たい』 / 冷淡な,よそよそしい 
ilk	 家族,同種 
imp	 小悪魔;悪魔の子 / わんばく
ink	 (筆記用・印刷用)の『インク』 / (イカなどの出す)墨 / …‘を'インクで書く(塗る,しるす,汚す) 
ion	 イオン 
ire	 怒り(anger) 
irk	 …‘を'いらいらさせる 
ism	 主義,主張,学説 
its	 『それの』,その 
ivy	 ツタ 
jab	 (とがった刃物で)…‘を'突き刺す《+『名』+『with』+『名』》,(…に)…‘を'突き刺す《+『名』+『into』+『名』》 / (ボクシングで)…‘を'ジャブを突く / (…を)鋭く突く,(ボクシングで)ジャブで突く《+『at』+『名』》 / 突き;(ボクシングで)ジャブ
jag	 (岩角やのこぎりの歯のような)とがった部分,とんがり;かぎ裂き / …‘に'ぎざぎざをつける;…‘に'かぎ裂きをつくる
jam	 ジャム 
jar	 (広口の)『つぼ』,かめ,びん,ジャー / 一つぼ(びん)(の…)《+『of』+『名』》
jaw	 〈C〉(上・下の)『あご』 / 《複数形で》口 / 〈C〉下あごのかっこう(感じ) / 《複数形で》あごに似た物;(谷・海峡などの)狭い入口 / 〈U〉《話》おしゃべり;(長い)お説教 / (人に)しゃべる,(特に)くどくど言う;(人に)お説教をする《+『at』+『名』〈人〉》
jay	 カケス 
jet	 (水・ガス・蒸気などの)『噴出』,噴射;噴出物,噴射物 / 噴出口,(ホースなどの)筒口 / =jet plane / =jet engine / 噴出する,噴射する / ジェット機で行く(旅行する) / …‘を'噴出する,噴射する / …‘を'ジェット機で運ぶ
jib	 船首の三角帆,ジブ / (起重機の)腕,ジブ
jig	 ジッグ(動きが速く活発な,通例3拍子のダンス) / ジッグ舞曲 / ジッグを踊る / 上下にすばやく動く / …‘を'上下にすばやく動かす 
job	 『職』,勤め口;(職としての)仕事 / (しなければならない)『仕事』;職務 / 難しい(骨の折れる)仕事 / 手間(賃)仕事をする / (株の)仲買をする / (公職を利用して)私腹を肥やす / 〈商品〉‘を'卸売りする;〈株〉‘を'仲買する / (…に)…‘を'下請けに出す《+『out』+『名』+『to』+『名』》
jog	 …‘を'軽く揺り動かす;…‘を'ちょっと押す(突く) / 〈記憶など〉‘を'呼び起こす,刺激する / (特に健康法として)ゆっくり走る / とぼとぼと歩き続ける《+『on』(『along』)》 / 軽い揺さぶり(つつき,刺激) / てくてく(ことこと)歩き;(馬の)緩歩(jog trot)
jot	 ごくわずか,微量;ごくわずか(の…)《+『of』+『名』》 / …‘を'ちょっと書き留める,手早くメモする《+『down』+『名,』+『名』+『down』》
joy	 〈U〉(大きな)『喜び』,歓喜,うれしさ / 〈C〉喜びのもと(種)
jug	 (陶製・ガラス製などでコルク栓の付いた取っ手付きの細口の)水入れ,かめ,つぼ / 《英》(取っ手付きの広口の)水差し(《米》pitcher) / 水差し(かめ)一杯(の…)(jugful)《+『of』+『名』》 / 《the ~》《俗》刑務所(prison) / 〈肉など〉‘を'陶製のつぼでとろ火で煮る / 《俗》…‘を'刑務所に入る
jut	 突き出る,張り出す《+『out』》 
keg	 (5‐10ガロン(20‐40l)入りの)小さなたる / ケグ(くぎの重量単位;100ポンド(45kg))
ken	 理解;理解の範囲 / 〈人・物〉‘を'知る(know)
key	 (…の)『かぎ』《+『to』+『名』》 / 《the ~》(達成・理解・解決などの)『かぎ』,手がかり,秘訣(ひけつ)《+『to』+『名』(do『ing 』》 / (練習問題などの)解答の手引き(ヒント) / (辞書・地図などの)略語(発音)解,記号解 / 《the ~》(…への)重要地点,要所;(…にとって)重要な人(物)《+『to』+『名』》 / (時計のぜんまいを巻く)ねじ / (鍵盤(けんばん)楽器の)キー,鍵(けん);(タイプライター・計算機などの)キー / (音楽で長短)調 / (声の)調子 / 基本的な;重要な / (特定の状態・活動などに)〈言葉・行動など〉‘を'合わせる,調節する《+『名』+『to』+『名』》 / (ある音程に)〈曲〉‘の'調子を合わせる《+『名』+『to』+『名』》
kid	 〈C〉『子ヤギ』 / 〈U〉子ヤギの皮,キッド / 《おもに米話》《複数形で》子供(child),若者 / 子ヤギの皮製の / 《米俗》若い,年下の 
kin	 《古・話》《複数扱い》親族,親類 / 〈U〉(…との)親類関係《+『to』+『名』》 / (…にとって)親類で,血族で;(…の)同類で《+『to』+『名』》 
kip	 〈C〉〈U〉《a~》《話》ひと眠り / 〈C〉《俗》ねぐら,宿 / 寝る,横になる《+『down』》 
kit	 〈C〉(特定の目的のための)用具(器具など)一式 / 〈C〉一式の用具を入れる箱(袋など) / 〈U〉《おもに英》(旅行者・水夫・兵士などの衣類など)身の回り品一式 / 〈C〉(全体を構成する)部品(材料)の一そろい
lab	 実験室(laboratory) 
lac	 ラック(ワニス・赤色染料の原料) 
lad	 若者,少年(boy) / 《話》《おもにイギリス北部で,親愛を表す呼び掛けに用いて》男,やつ
lag	 『遅れる』,(学業・仕事などで)遅れをとる《+『behind』》;(…より)遅れる《+『behind』+『名』》 / 〈関心などが〉衰える / 遅れること,遅延 
lam	 …‘を'打つ,たたく,なぐる / 打つ,たたく,なぐる
lap	 『ひざ』(座ったときの大腿部の上からひざがしらまでの部分) / (スカートなどの)ひざの部分 / 《比喩(ひゆ)的に》責任,管理 / 安楽な場所
law	 〈U〉《the ~》《集合的に》(法律・法規を総称して)『法』 / 〈U〉〈C〉(個々の)『法律』,法規 / 〈U〉法の[統制]力 / 〈U〉法律学 / 〈U〉弁護士[業] / 〈U〉《the law》警察[力],警官(police) / 〈U〉法の適用(発動);訴訟(legal action) / 〈C〉(科学・芸術などでの)法則,きまり / 〈C〉〈U〉(一般に従うべき)おきて,ならわし,規則 
lax	 (法などが)『厳格でない』,手ぬるい / だらしない,たるんだ;(…に)いいかげんな《+『about』+『名』(do『ing』)》 / 『ゆるんだ』 
lay	 《場所の副詞[句]を伴って》‘を'『置く』,横たえる / ‘を'『きちんと置く』(並べる),〈土台など〉‘を'すえる,〈鉄道など〉‘を'敷設する / …‘を'『用意する』,準備する / (…に)〈身体の一部〉‘を'置く,つける《+『名』+『on』(『to』)+『名』》 / (…に)〈信頼・愛情〉‘を'置く,寄せる,託す;〈強調・重要性など〉‘を'置く《+『名』+『on』+『名』》 / 〈ほこり・波・風など〉‘を'押さえる,〈恐れ亡霊など〉‘を'静める,なだめる / 〈卵〉‘を'産む / 〈かけ〉‘を'する;(…に)〈金〉‘を'かける《+『名』+『on』+『名』》 / (…に)〈税・罰金・義務など〉‘を'課する,〈重荷・責任など〉‘を'負わせる《+『名』+『on』(『upon』)+『名』》 / 〈悪事など〉‘を'(…の)せいにする《+『名』+『against』(『to』)+『名』》 / 《状態を表す副詩[句]を伴って》(特によくない状態に)…‘を'『置く』,する / (…に)〈権利の主張・報告など〉‘を'提出する,申し出る《+『名』+『before』(『to』)+『名』》 / (…で)…‘の'表面をおおう《+『名』+『with』+『名』》;(…に)…‘を'広げる《+『名』+『on』+『名』》 / 卵を産む / 位置,配置,地形,地勢 
lea	 草原,牧草地(meadow) 
led	 leadの過拒・過去分詞 
leg	 (人・動物の)『脚』 / (ズボン・靴下などの)脚をおおう部分,脚部 / (家具などの)脚,形(機能)が脚に似た物 / (三角形の底辺を除く)一辺 / (旅などの全行程の中の)一区切り,一区間 
lei	 レイ(ハワイで首にかける花輪) 
lek	 レク(アルバニアの貨幣単位) 
let	 〈人・動物など〉‘に'(…)『させる』,させておく,‘を'(…する)ままにしておく(受動態にできない) / 〈物事〉‘を'(…する)状態にする,‘に'(…)させる / 《『let us(let's)』do》…『しよう』 / 《おもに英》〈土地・家など〉‘を'『貸す』賃貸する(《米》rent) / (人に)〈工事〉‘を'請け負わせる《+『名』+『to』+『名』》 / (…から)〈液体・空気など〉‘を'出す,漏らす,放出する《+『名』+『out of』+『名』》
leu	 レウ(ルーマニアの貨幣単位) 
lib	 (…)解放(liberation) 
lid	 『ふた』 / まぶた(eyelid)
lie	 《場所を表す副詞[句]を伴って》『横たわる』,横になる / 《状態を表す副詞[句]を伴った》『置かれている』,ある / 《場所を表す副詞[句]を伴って》(ある場所に)『位置する』,ある / 《通例場所を表す副詞[句]を伴って》〈誤り・理由・責任・抽象的なものが〉見い出される,ある / 《場所を表す副詞[句]を伴って》地下に眠る,葬られている / 位置,方向;状態
lip	 〈C〉『くちびる』,口もと / 《複数形で》(発音器官としての)くちびる,口 / 〈U〉《俗》生意気な言葉 / 〈C〉(容器などの)口,へり,縁;(峡谷・火山などの)口 / 〈C〉(植物の)唇弁(しんべん) 
lit	 lightの過去・過去分詞 
lob	 (テニスで)〈ボール〉‘を'ゆるく高く打ち上げる / (クリケットで)〈ボール〉‘を'下手投げでゆるく投げる / (テニスで)ボールをロブで返す / (テニスの)ロブで打った球 / (クリケットの)下手投げの緩い球 
log	 『丸太』,丸木 / (また『logbook』)航海(航空)日誌 / 測程儀(船の速力を測る器械) / 〈木〉‘を'丸太に切る / 〈土地〉‘の'立ち木を切り倒す / …‘を'航海(航空)日誌に記入する / (船・飛行機で)〈ある距離・時間〉‘を'航行する,飛ぶ / 木材を伐採する / 丸太の 
lop	 〈不要な枝〉‘を'切る,払う;〈木〉‘を'刈り込む 
lot	 〈C〉『くじ』 / 〈U〉くじ引き,抽選 / 〈C〉《単数形で》『運命』,巡り合わせ / 〈C〉《米》(土地の)一区画,地所 / 〈C〉分け前 / 〈C〉(商品などの)一山,一口;《おもに英》(人の)一群,連中 / 〈U〉《おもに英話》《the~》(…の)すべて,全部《+『fo』+『名』》 / 《a lot, lotsの形で,副詞的に》大いに,ずっと / 〈C〉《話》やつ,者 
low	 (高さ・位置が)『低い』,低い所にある / (価格・数量・程度などが)『低い』,少ない / (身分・地位などが)『低い』,卑しい / (人格・行為などが)『卑しい』,下劣な,下品な / 《補語にのみ用いて》(体が)『弱った』;元気のない,憂うつな / (供給が)不十分な;(…が)乏しい《+『in』(『on』)+『名』》 / (音・声が)低い,小さい / (生物が)下等な / 『低く』,低い所に / (価格・程度などが)『安く』,低く / 低い声(調子)で;静かに / 最低点,最低水準
lox	 サケのくん製の一種 
lug	 …‘を'力を込めて引く,引きずる《+『名』+『along』》 / 強く引くこと
lye	 灰汁,あく;洗たく用アルカリ液 
mad	 『気が狂った』,気違いの / ばかげた,無謀の,向こう見ずな / 《補語にのみ用いて》《話》(人・物事に)夢中になって,(…を)熱望して《+『about』(『for』)+『名』》 / 《補語にのみ用いて》《話》『怒った』,腹を立てた(angry) / 狂ったように興奮した,熱狂した / (イヌが)狂犬病にかかった
man	 〈C〉(成人の)『男』,男子;(男の)おとな / 〈U〉《冠詞をつけないで》(動物と区別して)『人類』,『人』,人間(mankind) / 〈C〉《性別に関係なく用いて》人;《否定文で》だれも / 《複数形で》従業員,雇い人;兵士,下士官 / 〈C〉夫,亭主(husband);《話》(内縁の夫,愛人など同棲している)男 / 〈C〉男らしい男,一人前の男 / 《the~,one's~》うってつけの人,意にかなう人,適任者 / 〈U〉《男性に親しく呼び掛けて》君,おい / 《俗》《驚き・喜び・軽べつなどを表す間投詞として》おや,まあ,これは / 〈C〉(将棋・チェッカーなどの)こま / 〈C〉《the~》《米俗》権力者;警官 / 〈要さい・砲・船など〉‘に'人を配置する;〈地位・勤務など〉‘に'人をつける
map	 (1枚1枚の)『地図』;天体図 / …‘の'地図を作る;…‘を'地図にかく
mar	 …‘を'汚す,傷つける / 《文》…‘を'損なう(spoil)
mat	 (床などに敷く)『マット』,敷物,むしろ,畳 / (花びん・置き物などの)下敷き / (レスリング・体操用の)詰め物をした厚い敷物 / 《a ~》(毛・雑草などの)もつれ《+『of』+『名』》 / 〈床など〉‘に'マットを敷く,‘を'マットで覆う / …‘を'もつれさせる / もつれる 
maw	 (動物の)口,のど;食道 / (特に反すう動物の)胃 / (鳥の)え袋 
may	 《現在・未来の事柄・可能性の推量》…『かもしれない』,たぶん…だろう,…のこともある;《「may have+過去分詞」の形で過去の事柄の推量》…した(だった)かもしれない,たぶん…だったろう / 《but節を伴って譲歩を表して》…『かもしれない』 / 《まれ》《疑問文で強い不確実の意を強めて》いったい…だろうか,…かしら / 《許可》…『してもよい』,してもさしつかえない / 《容認》…『しても』(『と言っても』)『さしつかえない』,…する(と言う)のももっともだ / 《能力》…『できる』 / 《文》《祈言・言望・のろい》…『することを祈る』,…しますように / 《おもに文》《言望・恐れなどの名詞節に》…するように,…しないかと / 《目的の副詞節に》…『するために』,…できるように / 《譲歩の副詞節に》『[たとえ]…であっても』,…かもしれないが
meg	 megohm[s]（メガオーム）・〔俗〕（コンピュータ）megabyte（メガバイト） 
men	 manの複数形 
met	 meetの過去・過去分詞 
mew	 猫に似たカモメの鳴き声 / =meow / カモメが鳴く 
mil	 ミル(1000分の1インチ) 
