would	 《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
cause	 〈U〉『原因』,起因;〈C〉原因となる人(物事) / 〈U〉『正当な理由』,根拠,動機 / 《the~》(…という)(身を捧げるべき)主義,主張,目的《+『of』+『名』》 / 〈U〉〈C〉訴訟[の理由];申し立て / …'を'『原因となる』,'を'引き起こす,もたらす(bring about) 
board	 〈C〉(ある程度の長さと幅をもった薄い)『板』 / 〈C〉ボール紙,台紙 / 〈C〉食卓;〈U〉食事,(特に有料の)まかない / 〈C〉甲板(かんぱん),船べり / 〈C〉『委員会』;(官庁の)局,部,課 / 《the boards》舞台 / …‘に'板を張る,'を'板で囲う《+『up』(『over』)+『名,』+『名』+『up』(『over』)》 / …‘に'食事を出す,'を'まかない付で下宿させる / …‘に'乗り込む / (…に)まかない付きで下宿する,食事つきで滞在する《+『at』+『名』〈場所〉,+『with』+『名』〈人〉》
sound	 〈C〉〈U〉『音』,『音響』,響き・〈U〉音の聞こえる範囲・〈C〉(音声としての)音 / 《単数形で》(聞いたり,読んだりしたときに受ける)感じ,響き,調子・〈U〉(無意味な)音(声);騒音,ざわめき・『音を出す』,鳴る,響く・『聞こえる,思える』(進行形にできない) ・〈楽器・ベルなど〉‘を'鳴らす・(音で)…‘を'知らせる・…‘を'発音する・〈考えなど〉‘を'打診する
above	 《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと 
court	 (またcourtyard〈C〉(建物や壁に囲まれた)『中庭』;中庭式の区画 / 〈C〉(テニス・バスケットボールなどの)『コート』 / 〈C〉(場末の)路地,袋小路 / 〈C〉〈U〉《しばしばC-》『宮廷』,皇居;《集合的に》廷臣たち / 〈C〉〈U〉『法廷』,裁判所(court of justice);裁判,公判(trial) / 《the~》《集合的に》裁判官,判事 / 〈U〉《まれ》求愛,言い寄り;きげんとり,追従 / 〈有力者など〉‘の'きげんをとる;〈女〉‘に'求愛する / 〈賞賛など〉'を'求める,得るように努める / 〈災いなど〉'を'招く〈男女が〉仲よくする
party	 『社交的な集まり』,パーティー / 『一』,一隊,一団 / 『党』,政党 / (ある行動・計画などの)関係者,仲間,(時に)参加団体《+『to』(『in』)+『名』》 / (契約・訴訟などの)当事者,記名人;訴訟当事者(原告または被告のこと) / 《話》人(person)
death	 〈U〉〈C〉『死』,死亡;死に方,死にざま / 〈U〉死んだ[ような]状体 / 《the~》(…の)絶滅,破滅《+『of』+『名』》 / 《the~》(…の)死の原因,命取り《+『of』+『名』》 / 《通例『D-』》死神(手に鎌(かマ)を持った黒装束の骸骨(がいこつ)で表される) 
quite	 『全く』,完全に / 『かなり』,相当に,ずいぶん / ほんとうに,実際に,真に 
break	 …'を'『壊す』,割る,砕く;…'を'折る / …'を'擦りむく / …'を'『役に立たなくする』,壊す / (小さな物に)〈組になった物〉'を'分ける,ばらす,〈お金〉'を'くずす《+『名』+『into』+『名』》 / 〈垣・へいなど〉'を'破って出る / 〈法律・規則・約束など〉'を'『破る』,犯す / 〈均整・秩序・配列など〉'を'破る,くずす;〈持続しているもの〉'を'中止する,妨げる / 〈記録〉'を'破る,更新する / (…に)…'を'打ち明ける,知らせる《+『名』+『to』+『名』》 / …'を'破産させる,倒産させる / 〈気力・抵抗など〉'を'くじく;〈力・効果・強度〉'を'弱める / (…に)…‘の'位を下げる,…'を'降等させる《+『名』+『to』+『名』》 / 〈動物〉'を'ならす / 〈人〉‘の'(…の)癖を直す《+『名』〈人〉+『of』+『名』(do『ing』)》 / 〈暗号など〉'を'解読する;〈事件・問題など〉を解決する,解く / 《しばしば副詞[句]を伴って》『壊れる』,砕ける,割れる;破れる,破裂する / ぷっつりと切れる;中断する,途切れる;《米》仕事を中断する / はずれる,離れる,分離する《+『off』(『away』)》 / 故障する,壊れる,動かなくなる / 突然始まる;突然変化する / 夜が明ける / 〈健康・気力などが〉衰える,弱る;〈心が〉悲しみに打ちひしがれる / 〈株・価格などが〉急落する,暴落する / 壊れた箇所,裂け目,割れ目 / 中断,途切れ;不和,仲たがい / 休憩時間,小休止 / 逃亡計画,脱獄 / (…に向かっての)突進 / 急な変化,顕著な変化 / 夜明け / 《話》運,機会 
money	 〈U〉『金』(かね),金銭;通貨 / 〈U〉(金銭的な)利益,もうけ;富,財産 / 《複数形で》(政府・公共事業などの)財源,基金(funds) 
learn	 〈知識・技術など,習慣・心構えなど〉‘を'『習う』,学ぶ,身に着ける / …‘を'『覚える』(memorize) / …‘を'聞いて知る / 習う,学ぶ,覚える / (…から…について)知る,聞く《+『of』+『名』+『from』+『名』》 
voice	 〈U〉(人間の)『声』 / 〈U〉声を出す力,物を言う力 / 〈C〉〈U〉声の質,声の状態(調子) / 〈C〉(人の声を思わせる)(…の)音《+of+名》 / 〈C〉(人の声にたとえた)(…の)音《+of+名》 / 〈U〉〈C〉『発言権』,選択権,投票権 / 〈U〉表現,表明;意見 / 〈C〉(声楽の)声 / 〈C〉(文法で)態 / 〈気持ちなど〉‘を'言い表す,口に出す / 〈音〉‘を'有声音で発音する 
cover	 (…で)…‘の'『表面をおおう』,'を'包む,かぶせる《+『名』+『with』+『名』》 / (範囲が)…‘に'『及ぶ』,わたる,'を'取り扱う範囲に入れる / 〈ある距離〉'を'行く,進む(受動態にできない) / …‘に'保険を掛ける / …'を'報道する,取材する / 〈要塞・砲などが〉'を'制圧する / (ピストルなどで)〈人〉'を'ねらう《+『名』+『with』+『名』》 / (球技などで)〈相手〉の動きなど〉'を'ふせぐ;〈地域など〉'を'守る / (…の)代役をする,身代りをする《+『for』+『名』》 / 〈C〉『おおい』,包むもの,カバー;ふた / 〈C〉『表紙』 / 〈U〉隠れ場所,潜伏所 / 〈U〉姿を隠してくれるもの(暗闇,煙など) / 〈C〉(秘密を隠すための)見せかけ / 〈U〉(…の)保険《+『against』+『名』》 / 〈C〉封筒;(郵便小包などの)包装紙 / 〈C〉毛布,ふとん 
short	 (長さ・時間・距離などが)『短い』,近い・(人が)『背が低い』・(数量・期間などが)不足の』,乏しい;目標(標準)に達しない・(文などが)『簡潔な』,手短な・『そっけない』,ぞんぞいな,無愛想な・(ケーキなどが)かりかりする,さくさくする・(母音・音節が)短い;(詩の行の母音が)強勢のない・急に,突然・短いもの;欠けているもの・短篇映画(short movie, short subject) ・=short circuit・《複数形で》不足,欠損 / …‘を'短絡させる,ショートさせる / 短絡する,ショートする 
fight	 〈両者・数人が〉『戦う』,格闘する,殴り合い(取っ組み合い)のけんかをする;激しく口論する / …‘と'『戦う』 / 〈戦い〉‘を'交える,〈決闘など〉‘を'戦う / …‘を'制圧(克服)しようとする / 〈犬など〉‘を'戦わせる / 〈軍艦・軍隊など〉‘を'指揮する,操縦する / 〈C〉(…との)『戦い』,戦闘;格闘《+『against』(『with』)+『名』》 / 〈C〉(…との)奮闘,闘争(struggle)《+『for』(『with』,『against』)+『名』》 / (また『fighting spirit』)〈U〉『闘志』,ファイト / 〈C〉(…についての)論争,口論《+『over』+『名』》 / 〈C〉(特にボクシングの)試合,勝負 
watch	 …‘を'『じっと見つめる』,凝視する / …‘を'『見張る』,見守る,監視する,‘の'番をする / …‘を'『世話する』,看護する / …‘に'『注意する』,気をつける / 『じっと見る』,見守る / 『見張りをする』,監視する,警戒する / 《文》夜寝ないでいる;寝ずに看病する / 〈C〉《しばしば複合語を作って》(携帯用の)『時計』, / 〈U〉《時に a watch》『横張り』,警戒,用心 / 〈C〉見張り(監視)時間;〈U〉当直 / 〈C〉《しばしば the watch》番人,看守,警備員 
south	 〈U〉《通例the south》『南』,南方 / 《the south, the South》南方[地方] / 《the South》(米国の)南部地方 / 『南の』,南部の,南向きの;南からの / 『南の方へ(に)』 
stage	 (劇場・ホールなどの)『舞台』・on stage 舞台上で・《無冠詞》・off stage 舞台の陰で 《無冠詞》：ステージ;演壇;《the~》演劇;俳優業,演劇(舞台)の仕事 / (事件・活動などの)『舞台』,場所 / (発達などの)『段階』,時期 / (駅馬車などの止まる)駅,宿場;休憩地;(旅行における休憩地間の)旅程,行程 / =stagecoach / (多段ロケットの)段 / 〈劇〉‘を'『上演する』,〈試合など〉‘を'公開する / (特に劇的に)…‘を'実行する,やってのける
table	 〈C〉『テーブル』,食卓;(仕事・遊戯などの)台 / 〈U〉《時にa~》食べ物,料理 / 《集合的に》テーブルを囲む人々,一度の人々 / 〈C〉(文字・数字,情報などの並べた)『表』,配列表,目録 / =tableland / …‘を'表にする / 《おもに米》〈議案など〉‘を'棚上げにする,見送る / 《英》〈議案など〉‘を'審議に付す
plant	 (動物に対して)『植物』,草木・(樹木に対して)『草』,草本(そうほん)( 木部があまり発達せず地上部が一年で枯れる植物)・苗,苗木・生産設備,工場,プラント設備,装置・《俗》(人をおとしいれる)わな,おとり / 〈苗など〉‘を'『植える』,〈種〉‘を'まく・(植物を) ‘に'植える《+『名』+『with』+『名』》 / (…に)〈思想など〉‘を'植えつける《+『名』+『in』+『名』》・《場所の副詞[句]を伴って》(ある場所)…‘を'しっかりと置く(すえる,立てる) / ・〈工場・生産設備など〉‘を'建設する・《俗》〈スパイ〉‘を'送りこむ,〈わな〉‘を'仕掛ける・（嫌疑がかかるように）こっそり置く
front	 《the~》(物の)『前面』,表;(玄関を含む建物の)正面;(…の)最前部《+『of』+『名』》 / 《the~》(本などの)最初の部分 / 〈U〉《しばしばa~》(物事に対する)態度 / 〈C〉(共通目的のための)共同戦線,運動,提携 / 〈C〉(街路・川・湖に面した)土地;《英》(海岸の)遊歩道 / 〈C〉戦線 / 《話》〈C〉世間の目をそらすための人(物);(…の)隠れみの《+『for』+『名』》 / 〈C〉(気象上の)前線 / 〈C〉前部に位置する(ある)もの(ワイシャツの胸当て,前頭部など) / 『正面の』,前の;表の / (発音で)前舌音の / 〈場所が〉…‘に'面する / (…を)…‘の'正面(前面)につける《+『名』+『with』+『名』》 / 《古》〈敵・困難・危険など〉‘に'立ち向かう,直面する / (…に)面する《+『on』(『to,toward,upon』)+『名』》 
dance	 (…に合わせて)『踊る』,舞う,ダンスをする《+『to』+『名』》 / 《副詞[句]を判って》『こおどりする』,跳ね回る / 〈木の葉・光の影などが〉舞う,揺れる / 〈ダンス〉'を'踊る / 《副詞[句]を判って》〈人〉'を'踊らせる / 〈赤ん坊〉'を'上下に揺すってあやす / 《副詞[句]を判って》…'を'踊って(…のように)する(言う) / 『ダンス』,舞踏;舞踏曲;《the~》踊り方 / 『舞踏会』(dancing party) 
claim	 〈人が〉(当然の権利として)…'を'『要求する』,『請求する』,'を'自分の物だと主張する;(…から)…'を'要求する《+『名』+『from』+『名』》 / 〈人が〉…‘と'『主張する』,断言する / 〈物事が〉…'を'品要とする,‘に'値する / (…に対して…の)権利を主張する《+on(for)+名+against+名》 / 〈C〉(…に対する)(当然の)『要求』,請求《+for(to)+名》 / 〈C〉主張,断言,公言 / 〈U〉(物事を)要求する権利(資格),請求権《+『to』+『名』〈物事〉》;(人に)要求する権利《+『on』+『名』〈人〉》 / 〈C〉請求物;(特に入植者に与えられる)一区画の土地;(鉱業権などの設定された)払い下げ精求地
trade	 〈U〉『商業』,商売 / 〈C〉交換 / 〈C〉〈U〉『職業』 / 〈U〉《the trade》《集合的に》堂業者 / 〈U〉《the trade》…業[界] / 〈U〉《形容詞[句]を伴って》売り上げ高;《集合的に》顧客,得意先 / 《the trades》《話》=trade wind / (…を)『売買する,商う』《+in+名》 / 交換する / (…と)商売を営む,貿易をする《+with+名》 / (人と)〈物〉‘を'『交換する』《+名〈物〉+with+名〈人〉》;(物と)〈物〉‘を'交換する《+名〈物〉+for+名〈物〉》 
judge	 『裁判官』,判事 / (競技・コンテストなどの)『審査員』,審判 / (…の)『鑑定家』,目のきく人,(物事の)よしあしの分かる人《+『of』+『名』》 / 〈人・事件〉‘を'『裁判する』 / 〈競技など〉‘を'『審判する』,〈コンテストなど〉‘を'審査する / 〈人・物事〉‘を'『判断する』,『評価する』;…‘と'[判断して]思う / (…で…を)判断する,評価する《+『of』+『名』+『by』+『名』》 / (裁判官・審判などとして)(…を)裁く,判定する;(…の間の)優劣を判定する《+『between』+『名』》
paint	 〈U〉『ペンキ』,『塗料』 / 〈U〉〈C〉(油性・水性の)絵の具(チューブ入りおよび水に溶かす前の固型状のもの) / 〈U〉《しばしば軽べつして》(化粧品の)口紅,ほお紅 / …‘を'『絵の具でかく』 / …‘に'ペンキ(塗料)を塗る / …‘を'言葉で描き出す / (薬・化粧品などを)〈傷口・顔など〉‘に'塗る《+『名』+『with』+『名』》 / 〈人が〉ペンキ(塗料)を塗る,絵の具で絵をかく / 〈物が〉よく塗れる,絵の具がよくつく / 《しばしば軽べつして》化粧する
heart	 〈C〉『心臓』;胸 / 〈C〉(感情の中心をなす)『心』,気持ち / 〈U〉愛情,同情 / 〈U〉『勇気』,元気,熱意 / 《the ~》『中心』,内部,(物事の)本質,核心 / 〈C〉ハート形の物;(カードの)ハートの札
drink	 〈飲み物〉‘を'『飲む』 / 〈植物・地面・物が〉〈水分など〉‘を'吸収する;〈人が〉〈空気〉‘を'深く吸う / 〈カップ・グラスなど容器の中身〉‘を'飲む,飲み干す / 《副詞[句]を伴って》〈金・時間など〉‘を'酒で飲みつぶす / (…のために)…‘に'祝杯を上げる,…‘を'祈って乾杯する《+『名』+『to』+『名』》 / (飲み物を)『飲む』 / (習慣で,また過度に)酒を飲む / (…のために祈って)乾杯する《+『to』+『名』》 / 〈U〉〈C〉『飲み物』,飲料 / 〈U〉『酒』;飲酒 / 〈C〉(飲み物の)ひと飲み,1杯 
story	 〈C〉(事実に基づいた)『話』,実話 / 〈C〉(架空の,人を楽しませる)『物語』,話 / 〈U〉(小説,詩,劇,映画などの)筋,プロット / 〈C〉(新聞などの)記事,事件の報道 / 〈C〉(ある人の言う)言葉,申し立て / 〈C〉《話》《子供が,また子供に対して用いる》うそ(lie)
space	 〈U〉『空間』,広がり / 〈U〉『宇宙』,地球の大気圏外(outer space) / 〈C〉〈U〉『間隔』,距離;《しばしば複数形で》空地 / 〈C〉(特定目的のための)『場所』 / 〈U〉《しばしばa~》時間 / 〈C〉〈U〉スペース,余白,余地 / 〈C〉線間(譜表において五線の間の部分) / …‘を'間隔をおいて配置する《+『out』+『名,』+『名』+『out』》
share	 〈U〉《時にa~》『分け前』,取り分 / 〈U〉《時にa ~》(費用・仕事などの)『分担』,割り当て;(割り当てられた)役割 / 〈C〉『株』,株式,株券 / 〈U〉市場占有率(market share) / …‘を'『共にする』,共に使う;…‘を'分け合う / (…の)『分配にあずかる』,分担をする;(…を)共にする《+『in』+『名』》
spend	 (…に)〈金〉‘を'『使う』《+名〈金〉+on(『for』)+『名』》 / 〈時〉‘を'『過ごす』 / 《文》〈力など〉‘を'使い果たす,〈自分〉‘の'力を使い果たす / 金(財産など)を使う;浪費する
doubt	 『疑い』,疑惑;疑わしさ,疑問 / ‘を'『疑う』,疑問に思う
raise	 …‘を'『上げる』,持ち上げる;〈倒れた物〉‘を'起こす / …‘の'量(程度,価値など)『を上げる』 / 〈地位,名声〉‘を'『高める』;(…の地位などに)…‘を'上げる,高くする《+『名』+『to』+『名』》 / …‘を'生じさせる / …‘を'集める,調達する / 《米》…‘を'育てる,栽培する,飼う / 《おもに米》〈子供・家族〉‘を'扶養する,養育する / 〈建物・像など〉‘を'建てる / 〈気持ち・人など〉‘を'奮い立たせる / 〈疑問・異議・要求など〉‘を'提起する,持ち出す / 〈禁止・封鎖など〉‘を'解く / 〈死者〉‘を'生き返らせる / 〈パン〉‘を'ふくらませる / 『賃上げ』,『昇給』;昇給額(《英》rise)
ready	 『準備ができた』,仕上がった / 《補語にのみ用いて》(進んで喜んで)覚悟している / 《補語にのみ用いて》《『be ready to』 do》『今にも…しようとする』,しがちである / す早い,即座の / すぐに使える;手近の / (…に対して)…‘を'『準備する』,用意する《+『名』+『for』+『名』》 / (銃の)構えの姿勢 / 位置について
horse	 〈C〉『馬』,(特に成長した)雄馬 / =vaulting horse / 〈C〉(物を載せたり,支えたりする)脚付き枠(台など),掛け台,のこひき台,きゃたつ / 〈U〉《集合的に;複数扱い》騎兵,騎兵隊 / 〈人〉‘を'馬に乗せる;〈馬車〉‘に'をつける 
exist	 『存在する』,実在する / 『生在する』,生きている / 生じる,見られる,起こる 
north	 《the~》『北』;北方 / 《the~,the N-》北部[地方],北方[地域] / 《the N-》米国の北部諸州(特にOhio川以北のMaryland州・Missouri州を含む諸州;南北戦争で南部同盟諸州と戦った) / 『北の』,北部の,北向きの;北からの / 『北に』,北方へ 
alone	 『ひとりで』,一つで,単独で;ただ…だけで / 《名詞・代名詞のすぐ後に用いて》ただ…だけ(only)
basic	 『基礎の』,基本的な(fundamental) / 塩基性(アルカリ性)の
heavy	 『重い』,重量のある / (分量・程度・規模・強さなどが)『激しい』,大きい, / 『厳しい』,耐えがたい,つらい / 悲しい,陰気な / (動作が)のろい,ぎこちない / ものうい,だるい / (空が)曇った,うっとうしい,(海が)荒れた / (食物が)消化の悪い / 敵役,悪役 
moral	 《名詞の前にのみ用いて》(人・行為などが)『道徳的な』,道徳を守る;(人が)善悪の区別がつく / 《名詞の前にのみ用いて》『倫理』(『道徳』)『上の』,道徳の(ethical) / 『教訓的な』,道徳を教うる / 精神的な / (物語・でき事などに含まれた)『教訓』,寓意(ぐうい) / 《複数形で》(社会の)モラル,風儀;(個人の)『素行』,
black	 『黒い』,黒色の / 『暗い』,まっ暗な(dark) / (特にアフリカ系)黒人の / 汚い(dirty),汚れた(soiled) / 陰気な(gloomy);不吉な;見通しの暗い / 怒った(angry);不きげんな(sullen) / 腹黒い,邪悪な(wicked, evil) / 《文》不名誉な / (コーヒーに)クリーム(牛乳)を入れない,ブラックの / 〈U〉『黒』,『黒色』 / 〈C〉《しばしば『B-』》黒人 / 〈U〉黒衣,(特に)喪服 / 黒くなる;暗くなる / …'を'黒くする;…'を'暗くする(blacken) / (靴墨で)〈靴〉'を'みがく 
earth	 《the~,時に[the]E-》『地球』 / 〈U〉(天,空に対して)『地』,地面 / 〈U〉『土』(soil) / 《the~》世界;全世界の人々 / 〈C〉土(ど)類(金属酸化物) / 〈C〉《英》アース,接地[線] / 〈C〉《おもに英》(キツネなどの)穴 / 〈植物〉‘に'土をかぶせる《+『op』+『名』》 / 《英》…‘に'アース線をつなぐ;…‘を'アースする(《米》ground) 
equal	 『等しい』,同じ / 『平等の』 / 互角の;均等の / (任務・作業などに)耐える力がある,(…する)力量がある《+『to』+名(do『ing』)》 / (…と)『同等の人(物)』《+『of』+『名』》 / …‘に'等しい,匹敵する;(…の点で)…‘に'匹敵する《+『名』+『in(as)』+『名』》
smile	 『ほほえむ』,にっこりする・〈好運・神などが〉(…に)好意を示す《+『on』(『upon』)+『名』》・《a+形容詞+smileを目的語にして》…‘な'笑い方をする・…‘を'ほほえんで示す・〈人〉‘に'ほほえみかけて(…)させる(させない)《+『名』〈人〉+『into』(『out of』)+『名』(do『ing』)》・『ほほえみ』,微笑 
price	 〈C〉(売買の)『値段』,『価格』 / 〈U〉《しばしばa~》(何かを手に入れるための金銭以外の)『代償』,代価 / 〈C〉(犯人逮捕などの)賞金,ほうび / 〈C〉(競馬などの)賭(か)け率 / 《しばしば受動態で》〈商品〉‘に'(…の)値段をつける《+『名』〈商品〉+『at』+『名』〈金額〉》 / 《話》…‘の'値段を確かめる
trial	 〈U〉〈C〉『裁判』,公判,審理 / 〈U〉〈C〉(…の)『試験』,ためし《+of+名》 / 〈C〉企て,試み;努力 / 〈C〉(忍耐・徳・信仰などをためす)試練,苦難 / 〈C〉困りもの,迷惑な(やっかいな)人(もの) 
stock	 〈C〉〈U〉(…の)『在庫品』,仕入れ品,ストック《+『of』+『名』》 / 〈C〉〈U〉(…の)貯蔵,蓄え《+『of』+『名』》 / 〈U〉《集合的に》『家畜』 / 〈U〉血統,家系,家柄 / 〈U〉〈C〉(動植物の)種属 / 〈U〉(スープ種・ソース種などに用いる)煮出し汁 / 〈U〉〈C〉《おもに米》(株式会社の)株,株式;〈C〉株券,《英》国債,地方債 / 〈U〉原料 / 〈C〉《複数形で》(刑罰用の昔の)さらし台 / 〈C〉(銃の)台じり / 〈C〉(接ぎ木の)台木 / 〈C〉(接ぎ穂をとる)親株 / 〈C〉(植物の)幹,茎 / 〈C〉(錨(いかり)のリングの下の)横棒 / 〈C〉(劇場の)専属劇団[のレパートリー] / 〈C〉アラセイトウ(春,赤紫色の花を開く) / (商品を)〈店など〉‘に'『仕入れる』,蓄える《+『名』〈店〉+『with』+『名』〈商品〉》 / …‘を'『仕入れている』,貯蔵している / (家畜などを)〈農場など〉‘に'入れる,(…を)〈川・草地など〉‘に'放つ《+『名』〈農場など〉+『with』+『名』》 / (…を)仕入れる,蓄える《+『up with』+『名』》 / 常に仕入れてある,常置の;標準の / ありふれた,陳腐な / 在庫品を扱う 
quick	 (動作などが)『速い』,急速な,素早い;(人が)敏しょうな,機敏な / (進行・経過などが)『瞬間の』,短時間内の,すぐ終わる / (人,人の頭が)『理解の早い』,りこうな,利発な;(感覚などが)鋭敏な,鋭い / せっかちな,気の短い / 《古》命のある,生きている(living) / (爪の下・傷口などの)最も敏感なところ;(感情の)いちばん痛いところ / 素早く,急いで / 《複合語を作って》「早く(…する)」の意を表す
touch	 〈人が〉(手・指などで)…‘を'『さわる』,‘に'触れる《+名+with+名》 / (…に)…‘を'触れさせる,あてがう《+名+to+名》 / 〈物が〉…‘に'触れている,‘と'接触している / …‘を'『感動させる』,の感情を動かす / 《文》〈事が〉…‘に'『影響する』,関係する,かかわる(concern) / 《通例否定文で》〈飲食物〉‘に'手をつける;〈道具など〉‘を'使う / 《しばしば受動態で》(かすかに)…‘に'色合いをつける / (軽く)…‘を'害する,いためる / 《通例否定文で》…‘に'匹敵する,‘と'肩を並べる / 〈船などが〉…‘に'立ち寄る,寄港する / 《俗》《+名+for+名》(金銭などを)〈人に〉‘に'せびる,借りる / さわる,触れる,接触している / (港などに)〈船などが〉立ち寄る,寄港する《+at+名》 / 〈U〉『触覚』,触感 / 〈C〉《単数形で》(物の)感触,手ざわり / 〈C〉『さわる(触れる)こと』,さわられること / 〈U〉《しばしばa ~》(…の)『気味,微候』,気配《+of+名》 / 〈C〉少量,少しばかりの(の…)《+of+名》 / 〈C〉(作品仕上げの)手入れ,一筆 / 〈U〉《しばしばa ~》(作家などの)筆法,作風 / 〈U〉《しばしばa ~》(ピアノ・タイプライターなどの)指運び,たたき方,タッチ 
throw	 …‘を'『投げる』,ほうる / (…に)…‘を'『投げつける』,〈ミサイル・弾丸など〉‘を'発射する《+名+at+名》 / 《副詞[句]を伴って》〈相手〉‘を'投げ倒す,振り落とす / (…に)〈光・影〉‘を'投げかける,浴びせる,向ける《+名+on(over)+名》 / 〈視線・言葉など〉‘を'投げる,投げかける / 《副詞[句]を伴って》(ある場所・位置・状態に)…‘を'投げ込む;…‘を'急に(…の)状態に落とし込む / …‘を'急いで着る(脱ぐ)《+on(off)+名,+名+on(off)》;(…に)…‘を'さっと掛ける《+名+over+名》 / 《副詞[句]を伴って》〈手・足など〉‘を'ぐいと動かす / 〈声〉‘を'張り上げる;(腹話術で)〈声〉‘を'別の場所から聞こえてくるように思わせる / 〈スイッチ・連結レバー〉‘を'動かす / 〈陶器〉‘を'ろくろにかけて形造る / 〈家畜が〉〈子〉‘を'産み落とす / 《話》〈パーティーなど〉‘を'催す / 《米話》〈試合・勝負事〉‘を'投げる,わざと負ける,八百長で負ける / 《俗》〈人〉‘を'仰天させる,めんくらわせる / 投げる,ほうる / 『投げること』,投球;発射 / 投げて届く距離,射程 / ショール,スカーフ,えりまき 
prove	 …‘を'『証明する』 / …‘を'『試す』,検討する / 《『prove』[『to be』]+『名』(『形』)》(…と)『証明される』,わかる・「で」あると判明する 
argue	 (人と…について)『議論する』,論争する,言い争う《+『with』+『名』〈人〉+『about』(『on, over』)+『名』》 / (…に賛成・反対して)論じる,主張する《+『for』(『in favor of, against』)+『名』》 / …'を'『議論する』,論じる / (…するように)〈人〉'を'『説得する』,説き伏せる《+『名』〈人〉+『into』+『名』(do『ing』)》,(…しないように)〈人〉'を'説得する《+『名』〈人〉+『out of』+『名』》 / 〈物事が〉…'を'示す,表す(show) 
count	 (一つ一つ順に)〈数〉'を'『数える』,〈物〉'を'数え上げる《+『up』+『名,』+『名』+『up』》 / …'を'『勘定に入れる』,含める(include) / …'を'『思う』,みなす(consider) / 数を数える,計算する《+『up』》 / 数にはいる,数に含まれる / 価値がある,重大である / 〈C〉〈U〉『数えること』,『計算』 / 〈U〉総数,総計 / 〈U〉(起訴状の)訴因 / 《the~》(ボクシングで)カウント(選手がノックダウンされたときレフリーが1から10まで数えること) / 〈C〉(野救で打者の)ボールカウント / 〈U〉《話》考慮,注目(account)
enjoy	 ‘を'『楽しむ』 / ‘に'『恵まれている』,‘を'享受する
chief	 (組織・集団の)『長』;長官,局(部,課)長;(部族の)長 / 『最高位の』,長である / 『最も重要な』,おもな(most important; main) 
store	 〈C〉《おもに米》[小売]『店』,商店(《英》shop) / 〈C〉(…の)『蓄え』,貯蔵《+『of』+『名』》 / 〈C〉多量,多数,たくさん(の…)《+『of』+『名』》 / 《複数形で》必需品,備品,用品 / 〈C〉倉庫,貯蔵所 / (将来のために)…‘を'蓄える』《+『up』+『名』》 / …‘を'『倉庫に保管する』 / (…を)〈ある場所など〉‘に'供給する,用意する《+『名』〈場所〉+『with』+『名』》
hotel	 『ホテル』,旅館 
clean	 『汚れのない』,『清潔な』 / 使っていない / 不純物がはいっていない,純粋な(pure) / 清らかな,潔白な / ゆがみのない,すっきりした / 公正な(fair),規則に従った / 空白の;書き入れてない / 完全な,全くの / 鮮やかな,みごとな / 放射能のない / 完全に,全く,すっかり(completely, entirely) / きれいに / …'を'『きれいにする』 / …'を'取り片付ける / 〈肉・魚・野菜など〉'を'下ごしらえをする / きれいになる;きれいにする / ふき取り掃除 
below	 《fly,go,sink など移動を表す動詞と結びつき方向を表して》…『の下方へ』,より低い位置へ / 《位置》…『の下方で』,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…『より以下で』(の) / …にふさわしくない,にさえ値しない / 『下方へ向かって』,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に / 下級の,下位に / 下記の,後述の
